,long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
90,1,12.3,5.6,1,0,0,0,0
91,1,12.9,5.1,0,0,0,0,0
92,1,13.3,5.9,1,1,1,1,1
93,0,13.0,5.4,0,0,0,0,0
94,1,12.2,6.5,1,1,0,1,1
95,1,13.0,5.2,0,1,1,1,1
96,1,12.2,6.2,1,1,1,1,1
97,1,15.1,6.8,1,1,1,1,1
98,0,12.0,6.4,0,0,0,0,0
99,0,12.3,5.9,0,0,0,0,0
100,1,15.3,5.6,0,1,1,1,1
101,1,13.7,5.4,1,1,0,1,1
102,1,14.4,5.7,1,1,1,1,1
103,1,14.5,6.3,1,1,1,0,1
104,1,12.1,6.5,1,1,1,1,1
105,1,11.8,6.5,1,1,0,1,1
106,0,11.8,6.5,1,0,1,1,0
107,1,15.3,6.7,1,1,1,1,1
108,1,14.8,6.1,1,1,1,1,1
109,1,13.9,5.5,0,1,0,0,0
110,1,15.5,5.3,1,1,1,0,1
111,1,12.5,6.2,0,1,0,0,0
112,1,13.1,6.6,1,0,1,1,1
113,1,15.3,5.3,1,1,1,0,1
114,1,13.8,5.4,0,0,0,0,0
115,1,12.8,6.1,0,0,0,1,0
116,1,12.9,6.4,0,0,0,1,0
117,1,14.3,6.1,0,0,0,0,0
118,1,13.8,6.7,1,1,1,1,1
119,1,11.6,5.1,1,1,1,1,1
120,1,11.5,6.3,0,1,1,0,0
121,1,13.4,5.4,0,1,0,0,0
122,1,12.9,5.2,0,0,0,0,0
123,1,11.8,7.1,1,1,1,1,1
124,1,12.6,6.4,0,1,0,1,1
125,1,14.0,6.0,0,0,0,0,0
126,1,14.2,6.2,1,1,1,1,1
127,1,12.1,6.2,1,1,1,1,1
128,1,12.0,6.5,0,0,0,0,0
129,1,12.3,5.4,0,0,0,1,0
130,1,12.7,6.8,1,1,1,1,1
131,1,12.5,5.8,0,1,0,0,0
132,1,11.8,5.4,0,1,1,1,1
133,1,11.6,5.9,0,0,0,0,0
134,1,11.7,6.3,1,0,0,0,1
135,1,11.9,5.3,0,0,0,0,0
136,1,13.2,5.5,1,0,1,1,1
137,1,13.8,5.2,1,1,0,0,0
138,1,12.4,5.9,1,1,1,1,1
139,1,13.2,5.6,1,0,1,1,1
140,1,12.6,6.5,0,0,0,0,0
141,1,13.1,6.2,1,1,1,1,1
142,1,13.2,6.0,0,1,1,0,0
143,1,12.7,5.6,0,0,0,0,0
144,1,14.2,6.5,1,1,1,1,1
145,1,11.9,6.3,0,0,0,0,0
146,1,13.9,5.1,1,1,1,1,1
147,1,11.9,6.8,1,1,1,1,1
148,1,13.4,6.3,0,0,1,0,0
149,1,15.4,6.6,1,1,1,1,1
150,1,11.8,5.2,1,0,1,1,1
151,1,11.7,5.5,0,0,0,0,0
152,1,13.4,6.4,1,1,1,1,1
153,0,12.5,6.8,1,1,0,1,1
154,1,13.3,6.4,0,0,0,0,0
155,1,12.9,6.2,0,0,0,0,0
156,1,12.8,5.9,1,1,1,1,1
157,1,11.9,5.5,0,0,0,0,0
158,1,15.3,5.5,1,1,1,0,1
159,1,12.5,6.1,0,1,1,1,1
160,0,14.1,5.8,0,0,0,0,0
161,1,14.0,6.6,1,1,1,1,1
162,1,14.3,5.2,1,1,1,1,1
163,1,11.9,7.1,0,1,1,1,1
164,1,14.6,6.2,1,1,1,1,1
165,0,13.3,6.2,0,0,1,0,0
166,1,12.7,5.7,1,1,1,1,1
167,1,11.6,5.4,1,1,1,1,1
168,1,14.1,6.0,0,0,0,0,0
169,1,12.8,6.6,1,1,1,1,1
170,1,12.0,5.4,0,0,0,0,0
171,0,11.6,5.4,0,0,0,1,0
172,1,13.1,6.1,1,0,1,1,1
173,1,14.4,7.1,0,0,1,1,1
174,1,11.6,6.1,0,0,0,0,0
175,1,12.7,5.7,1,1,1,1,1
176,1,12.2,6.4,0,0,0,0,0
177,1,12.0,5.5,1,1,1,1,1
178,0,12.5,6.0,1,1,0,1,1
179,1,12.5,5.6,0,0,0,0,0
180,1,13.5,6.2,0,0,0,0,0
181,0,12.6,5.8,1,1,1,0,1
182,1,12.3,5.8,1,1,1,1,1
183,1,12.2,5.4,0,0,0,0,0
184,1,14.2,7.1,1,1,1,1,1
185,1,11.9,6.0,0,0,1,0,0
186,1,15.1,5.6,1,1,1,1,1
187,1,11.8,5.9,1,1,1,1,1
188,1,13.8,6.2,0,0,1,0,0
189,1,15.0,6.2,1,0,0,1,1
190,1,13.7,5.5,0,0,0,0,0
191,0,13.5,6.4,0,0,1,1,1
192,1,13.0,6.2,1,1,1,1,1
193,1,13.5,5.8,0,0,0,0,0
194,0,11.9,5.4,1,0,1,1,1
195,1,13.8,5.6,0,0,0,0,0
196,1,11.8,6.3,1,1,1,1,1
197,1,11.9,5.9,0,0,1,0,0
198,1,14.1,5.3,0,0,0,0,0
199,1,11.7,5.3,0,0,0,0,0
200,1,12.8,5.3,1,1,1,1,1
201,1,11.9,5.8,0,0,0,0,0
202,0,12.7,5.4,0,1,0,0,0
203,0,12.4,6.2,1,0,1,0,1
204,0,11.5,5.7,0,0,0,1,0
205,1,12.6,6.4,1,1,1,1,1
206,1,14.3,6.4,1,1,1,1,1
207,1,15.1,5.1,1,1,1,1,1
208,1,12.6,5.1,0,1,1,0,0
209,1,11.7,5.5,0,0,1,0,0
210,1,12.1,5.4,1,0,0,0,0
211,1,13.8,5.3,0,1,0,0,0
212,0,13.9,6.5,0,0,1,1,0
213,1,14.2,7.1,1,0,1,1,1
214,1,13.1,5.7,1,1,1,1,1
215,1,14.0,6.7,1,1,1,1,1
216,0,12.5,6.3,0,0,1,0,0
217,1,12.0,5.5,0,0,0,0,0
218,1,11.8,6.7,1,1,0,1,1
219,1,11.7,6.3,0,0,0,0,0
220,1,14.3,6.0,0,1,0,0,0
221,1,15.3,6.7,0,1,1,1,1
222,0,13.0,6.2,0,0,0,1,0
223,1,13.5,5.7,0,0,0,0,0
224,0,13.7,5.6,1,1,0,1,1
225,1,14.8,5.8,1,0,1,1,1
226,1,13.2,5.2,1,1,1,1,1
227,1,15.1,6.7,1,1,1,1,1
228,1,13.5,6.0,1,0,0,0,0
229,1,12.7,5.4,1,1,1,1,1
230,1,12.9,5.1,0,0,0,0,0
231,1,12.5,7.0,1,1,1,1,1
232,1,13.2,6.2,0,0,1,0,0
233,1,14.2,6.4,0,0,1,0,0
234,1,15.5,5.6,1,1,1,1,1
235,1,15.1,5.4,1,1,1,1,1
236,1,13.7,5.9,1,1,1,1,1
237,1,13.4,5.7,1,1,0,1,1
238,1,14.2,6.4,0,1,1,1,1
239,1,12.6,5.3,0,1,0,0,0
240,1,15.0,7.0,1,1,1,1,1
241,0,14.8,6.4,1,1,1,1,1
242,1,14.0,6.2,0,0,0,1,0
243,1,12.5,6.2,1,0,1,1,1
244,1,15.4,5.1,1,0,1,1,1
245,1,11.5,5.6,0,0,1,0,0
246,1,13.4,6.1,0,0,1,0,0
247,1,12.1,5.2,0,0,0,0,0
248,1,14.0,5.9,1,1,1,1,1
249,0,13.3,6.9,1,1,1,1,1
250,1,13.0,6.3,0,0,1,1,0
251,1,12.3,5.8,1,0,0,1,1
252,1,12.2,5.8,1,1,1,1,1
253,0,13.1,6.9,1,0,1,1,1
254,1,13.9,6.4,0,0,0,0,0
255,1,13.5,5.4,1,1,1,1,1
256,1,12.6,5.7,1,0,0,0,0
257,1,11.5,5.7,0,0,0,0,0
258,1,13.6,6.1,1,1,1,1,1
259,1,14.0,6.2,0,0,0,0,0
260,1,12.1,5.3,1,0,0,0,0
261,1,13.0,6.2,1,1,1,1,1
262,0,13.4,7.0,1,1,1,1,1
263,1,15.1,7.1,1,1,1,1,1
264,0,12.3,5.6,0,0,0,1,0
265,1,13.2,7.0,1,1,0,1,1
266,1,12.1,5.4,0,1,1,0,1
267,1,15.2,6.8,1,1,1,1,1
268,0,15.3,5.7,1,1,1,1,1
269,1,12.1,5.3,0,0,0,0,0
270,1,13.0,5.7,1,1,1,0,1
271,1,12.3,5.6,0,0,0,0,0
272,1,14.0,6.5,0,0,0,1,0
273,1,15.3,6.0,1,1,1,1,1
274,1,13.0,6.0,1,1,1,1,1
275,1,13.9,6.1,0,0,0,0,0
276,1,14.1,5.9,0,1,0,1,0
277,1,13.5,6.5,0,0,1,0,0
278,1,14.1,6.0,0,0,0,0,0
279,1,12.5,7.0,1,1,1,1,1
280,1,14.1,5.6,1,1,1,1,1
281,1,12.7,5.9,0,0,0,1,0
282,1,12.8,6.1,1,1,1,1,1
283,0,13.3,6.5,0,0,1,1,1
284,1,12.1,6.3,0,0,0,1,0
285,1,14.2,6.1,0,0,0,0,0
286,0,14.7,6.4,1,1,1,1,1
287,1,12.2,5.6,1,1,1,1,1
288,1,14.0,5.2,0,0,0,0,0
289,1,14.3,5.3,0,0,0,1,0
290,1,15.1,5.2,1,1,1,1,1
291,1,14.2,5.8,0,0,0,0,0
292,1,12.4,7.0,1,1,1,1,1
293,0,12.2,5.7,0,0,0,0,0
294,0,13.9,6.1,1,1,1,1,1
295,1,13.3,6.2,0,0,0,0,0
296,1,12.9,6.3,1,1,1,1,1
297,1,12.6,5.9,1,1,0,1,1
298,0,14.2,5.5,1,1,1,0,1
299,1,14.5,5.7,0,1,1,1,1
300,1,12.0,5.7,1,1,1,1,1
301,1,12.9,5.5,1,1,1,1,1
302,1,12.8,5.3,1,1,1,0,0
303,1,11.9,5.6,0,0,0,1,0
304,1,13.6,5.8,0,0,1,1,0
305,1,14.6,6.8,1,1,1,1,1
306,1,13.7,7.1,1,1,1,1,1
307,1,14.2,7.1,1,1,1,1,1
308,1,14.5,6.2,1,1,0,0,1
309,1,11.7,5.1,0,0,0,0,0
310,0,11.7,5.2,0,0,0,0,0
311,1,11.6,5.5,0,0,0,1,0
312,0,13.2,6.5,0,1,0,0,0
313,1,11.4,5.5,0,0,0,0,0
314,1,15.2,6.0,1,1,1,1,1
315,1,14.1,5.6,0,1,0,0,0
316,1,13.5,6.1,1,1,1,1,1
317,1,14.9,5.9,1,1,0,1,1
318,1,12.2,6.0,0,0,0,0,0
319,1,14.1,6.1,0,1,1,0,0
320,1,13.7,6.1,0,0,0,0,0
321,1,12.2,5.6,1,0,1,1,1
322,1,12.4,5.9,0,0,0,0,0
323,1,11.5,5.7,0,0,0,0,0
324,1,12.6,6.5,0,0,0,0,0
325,1,13.6,5.1,0,0,0,0,0
326,1,12.1,5.5,0,0,0,0,0
327,1,11.5,5.3,0,0,0,0,0
328,1,13.2,5.7,0,0,1,0,0
329,1,12.2,5.9,1,0,0,0,0
330,1,11.7,6.5,1,1,0,1,1
331,1,14.8,5.3,1,1,1,1,1
332,0,15.5,6.8,1,1,1,0,1
333,1,12.2,5.2,0,0,0,0,0
334,1,14.8,6.0,1,0,1,1,1
335,0,14.9,6.2,0,1,1,1,1
336,1,13.8,6.1,1,0,1,1,1
337,1,14.6,6.7,1,1,1,1,1
338,1,14.5,6.5,0,1,1,1,1
339,1,14.0,6.2,0,0,0,0,0
340,0,13.5,5.3,1,0,0,1,0
341,1,11.4,6.0,0,0,0,0,0
342,1,13.9,6.5,0,0,0,0,0
343,1,14.7,5.8,1,0,1,1,1
344,1,14.9,5.9,1,1,1,1,1
345,1,14.1,5.3,0,0,0,0,0
346,1,12.0,5.2,0,0,0,0,0
347,1,11.9,6.5,0,0,0,0,0
348,1,11.8,5.9,1,1,1,1,1
349,1,15.4,5.6,1,1,1,1,1
350,1,12.2,5.4,0,0,0,1,0
351,1,11.8,6.7,1,1,1,1,1
352,0,12.8,6.2,1,0,0,0,0
353,1,13.3,6.4,1,1,1,1,1
354,1,12.2,6.0,0,0,0,1,0
355,1,13.3,5.6,1,1,1,1,1
356,0,11.6,6.2,0,0,0,0,0
357,1,12.7,6.6,1,1,1,1,1
358,1,13.9,6.2,0,0,0,0,0
359,1,14.2,7.1,1,1,1,1,1
360,1,12.2,5.9,0,0,0,1,0
361,1,13.8,5.5,0,0,1,1,1
362,1,14.1,6.5,0,0,0,0,0
363,1,13.4,6.4,0,0,0,0,0
364,1,14.3,6.4,1,1,1,1,1
365,1,11.6,5.1,0,0,1,0,0
366,1,15.5,6.8,1,1,1,1,1
367,1,14.3,5.5,0,1,0,0,0
368,1,11.6,6.8,1,1,1,1,1
369,1,13.8,5.5,0,0,0,0,0
370,1,14.4,6.1,1,1,1,0,1
371,1,13.9,6.0,0,0,0,0,0
372,1,11.5,5.9,0,0,0,0,0
373,1,12.0,6.4,0,0,0,0,0
374,0,11.4,5.4,0,0,0,0,0
375,1,13.2,6.0,0,0,0,0,0
376,1,12.9,5.5,1,1,1,1,1
377,1,11.6,5.4,0,0,0,1,0
378,1,15.5,6.8,1,1,1,1,1
379,0,14.5,6.6,0,1,1,0,1
380,1,12.1,5.5,1,1,1,0,1
381,1,15.1,6.3,1,0,1,1,1
382,1,13.7,6.2,0,0,0,0,0
383,1,12.9,6.3,0,0,0,1,0
384,1,14.4,6.6,0,1,1,1,1
385,0,12.8,6.3,0,0,1,0,0
386,0,13.4,6.6,1,1,1,1,1
387,1,14.7,7.0,1,1,1,1,1
388,1,14.1,6.9,1,0,1,1,1
389,1,13.3,5.5,0,0,1,0,0
390,1,13.2,5.9,1,0,1,0,0
391,1,12.1,6.2,1,1,1,1,1
392,0,12.5,5.7,1,1,1,1,1
393,1,12.8,6.1,0,0,0,0,0
394,1,13.3,5.5,0,0,0,0,0
395,1,15.5,5.7,1,1,0,1,1
396,1,14.7,6.4,1,1,1,1,1
397,1,12.5,7.0,0,1,1,1,1
398,1,11.6,6.5,0,0,0,0,0
399,0,13.2,6.2,0,0,0,0,0
400,0,12.0,5.1,0,0,0,0,0
401,1,14.2,5.4,0,0,0,0,0
402,0,13.4,7.0,1,1,1,1,1
403,1,15.5,6.9,1,0,1,0,1
404,1,14.7,5.9,0,0,1,1,1
405,1,13.1,5.9,0,0,0,0,0
406,0,15.1,7.0,1,1,1,1,1
407,1,13.5,5.8,1,0,1,1,1
408,1,13.5,5.4,0,0,0,0,0
409,1,12.1,6.4,0,0,1,0,0
410,1,14.0,5.9,1,1,1,1,1
411,0,13.7,6.3,0,0,0,0,0
412,1,13.3,6.1,0,1,0,0,0
413,1,13.8,5.5,0,0,0,0,0
414,0,12.2,7.0,1,1,1,0,1
415,1,12.5,7.1,1,1,1,1,1
416,0,14.6,6.9,1,1,1,1,1
417,1,13.9,6.2,0,0,1,1,0
418,1,12.7,6.4,1,1,1,1,1
419,0,14.2,5.4,0,0,0,0,0
420,1,13.6,5.2,0,1,1,0,0
421,0,12.1,6.1,1,1,1,1,1
422,1,11.8,5.9,1,0,0,0,0
423,0,11.8,5.1,1,0,0,0,0
424,1,13.2,6.6,0,1,1,1,1
425,1,11.6,6.9,1,1,1,1,1
426,1,12.5,5.6,0,0,0,0,0
427,1,13.0,5.7,1,1,0,1,1
428,1,14.1,6.1,0,0,0,0,0
429,1,14.2,6.4,0,1,0,0,0
430,1,11.7,5.4,0,0,0,0,0
431,1,15.4,6.4,0,1,1,1,1
432,1,11.9,5.9,0,0,0,0,0
433,1,12.0,5.2,1,1,1,1,1
434,1,14.3,5.1,0,0,0,0,0
435,1,12.6,6.2,0,0,0,0,0
436,1,14.6,6.5,1,1,1,1,1
437,0,13.3,5.1,0,0,0,1,0
438,1,12.7,5.2,0,1,0,1,1
439,1,13.8,5.5,1,1,0,0,0
440,1,11.7,6.1,1,0,0,0,0
441,1,14.7,6.5,1,1,1,1,1
442,0,15.1,6.8,1,1,1,1,1
443,1,12.9,5.7,1,1,1,1,1
444,1,14.1,5.2,0,0,0,0,0
445,1,13.9,6.1,0,0,1,0,0
446,1,11.8,5.7,1,1,1,1,1
447,1,12.1,5.9,1,0,0,0,0
448,1,14.0,6.1,0,0,0,0,0
449,1,13.7,5.8,1,1,1,1,1
450,0,11.9,5.8,0,1,0,0,0
451,1,12.5,5.3,1,1,1,0,1
452,1,11.7,6.4,0,0,0,0,0
453,1,12.8,6.2,0,0,0,0,0
454,1,12.2,6.1,0,0,0,0,0
455,1,12.4,6.5,0,0,0,0,0
456,0,12.8,6.3,1,1,1,1,1
457,0,13.2,5.9,1,1,1,0,1
458,0,14.0,5.8,0,0,0,0,0
459,1,11.9,6.9,1,1,1,1,1
460,1,12.5,5.3,1,1,0,1,1
461,1,14.9,5.5,0,1,1,1,1
462,1,11.6,6.5,0,0,0,0,0
463,1,14.1,5.1,0,0,1,1,1
464,1,11.4,6.1,0,0,0,0,0
465,1,13.3,5.9,1,1,1,1,1
466,1,13.1,5.5,0,0,0,0,0
467,1,14.2,5.4,1,1,1,1,1
468,1,14.1,7.1,1,1,1,1,1
469,1,12.9,6.1,0,1,0,0,0
470,1,13.0,6.4,1,1,1,1,1
471,1,15.0,6.2,1,1,1,1,1
472,1,13.0,5.5,1,1,0,1,0
473,1,12.0,6.5,0,0,0,1,0
474,1,12.2,6.0,0,0,0,0,0
475,1,12.7,6.1,0,1,1,1,1
476,1,12.7,6.2,1,1,1,1,1
477,1,11.6,6.0,0,0,0,0,0
478,1,13.2,6.0,0,0,0,0,0
479,1,12.6,6.4,1,1,1,1,1
480,1,12.7,5.8,1,0,1,1,1
481,1,11.4,5.9,0,1,1,0,0
482,1,14.3,6.4,0,0,0,0,0
483,1,12.8,5.3,1,1,0,0,0
484,1,12.0,5.5,0,0,0,0,0
485,0,14.4,5.9,1,0,1,1,1
486,1,13.4,5.5,0,0,0,0,0
487,1,14.3,6.3,1,1,1,1,1
488,1,12.5,5.3,0,0,0,0,0
489,1,12.3,6.4,0,1,1,1,1
490,1,12.4,6.8,1,0,0,1,1
491,1,14.6,6.1,1,1,1,1,1
492,1,12.0,6.4,0,0,0,0,0
493,0,11.7,5.2,1,1,1,1,1
494,1,13.0,7.1,1,1,1,1,1
495,1,11.7,6.2,1,1,1,0,1
496,1,12.0,5.3,0,1,0,0,0
497,1,14.3,6.8,1,1,1,1,1
498,1,13.7,5.8,1,1,1,1,1
499,1,11.5,5.1,0,1,0,0,0
500,0,11.9,5.8,0,0,1,0,0
501,1,14.9,5.2,1,1,1,1,1
502,1,12.1,6.8,0,1,1,0,1
503,1,12.9,6.3,0,0,0,0,0
504,0,15.3,5.7,1,1,1,1,1
505,1,11.6,5.2,0,0,0,0,0
506,1,13.7,6.4,0,0,0,0,0
507,1,12.2,6.2,0,0,1,0,0
508,0,14.2,5.2,1,0,0,0,0
509,1,14.9,5.1,1,1,1,0,1
510,1,14.6,5.7,1,1,0,1,1
511,1,13.6,5.7,0,0,0,1,0
512,1,11.6,5.6,0,0,0,0,0
513,1,13.7,5.7,0,0,0,0,0
514,1,14.9,5.6,1,1,1,1,1
515,1,13.3,5.6,0,0,0,1,0
516,1,14.2,5.5,0,0,0,0,0
517,1,14.3,5.5,0,0,1,0,0
518,1,12.9,5.5,1,1,1,1,1
519,1,12.6,6.3,0,0,0,0,0
520,1,12.8,6.4,0,0,0,0,0
521,1,12.0,6.2,0,1,1,1,1
522,1,12.3,5.7,0,1,0,0,0
523,0,14.2,6.2,1,0,0,1,1
524,1,12.9,5.9,0,0,0,0,0
525,1,14.2,5.3,0,0,0,0,0
526,1,13.4,5.1,0,0,0,0,0
527,1,14.3,5.3,0,0,0,1,0
528,1,14.5,5.1,1,1,1,1,1
529,1,13.6,5.6,0,0,0,0,0
530,1,13.3,6.9,1,1,0,1,1
531,1,13.4,5.1,0,0,0,0,0
532,1,12.7,5.5,0,0,0,0,0
533,1,12.3,5.6,0,0,0,0,0
534,0,11.6,6.4,0,0,0,1,0
535,1,12.6,7.0,1,1,0,1,1
536,1,13.3,5.2,1,1,1,1,1
537,1,13.3,5.6,1,1,1,1,1
538,1,12.6,6.6,0,1,1,1,1
539,1,13.7,5.6,0,0,0,0,0
540,1,12.2,6.0,1,1,1,1,1
541,1,13.4,5.3,0,1,1,0,1
542,1,11.5,5.7,1,1,1,1,1
543,0,11.5,6.5,0,1,1,1,1
544,0,12.7,5.4,1,1,1,1,1
545,1,13.0,5.6,0,0,0,0,0
546,1,13.9,6.0,0,0,0,0,0
547,0,13.2,5.4,1,1,0,1,1
548,1,15.0,5.5,1,1,0,1,1
549,1,12.3,7.1,1,1,1,1,1
550,1,13.1,5.8,1,1,1,1,1
551,0,12.4,6.8,0,1,0,1,1
552,1,11.7,5.5,0,1,1,1,1
553,1,13.7,5.3,0,0,0,0,0
554,0,14.4,5.2,1,1,1,1,1
555,1,12.3,5.2,1,1,1,0,1
556,1,12.4,5.7,1,1,1,1,1
557,1,14.0,5.9,1,1,0,1,1
558,1,13.7,5.9,0,0,0,0,0
559,1,12.4,5.4,1,1,0,0,1
560,0,15.5,5.6,0,1,1,1,1
561,0,12.0,5.8,0,0,0,0,0
562,1,13.8,5.1,1,0,0,0,0
563,1,12.6,5.8,0,0,0,0,0
564,1,12.3,6.2,1,1,0,0,0
565,0,11.6,5.2,1,1,1,0,1
566,1,12.9,5.2,1,1,0,1,1
567,1,13.7,6.1,0,0,0,0,0
568,1,13.2,5.6,0,0,0,1,0
569,1,12.2,6.2,1,1,1,1,1
570,1,12.4,5.3,1,1,1,1,1
571,1,13.7,5.6,0,0,0,1,0
572,1,13.5,5.7,0,0,1,0,0
573,1,15.0,6.8,1,1,1,1,1
574,1,11.5,7.0,1,1,1,0,1
575,1,12.9,5.6,0,0,0,0,0
576,1,14.7,5.8,1,0,1,1,1
577,1,11.8,7.0,1,1,1,1,1
578,1,13.2,6.7,1,1,1,1,1
579,1,13.2,7.0,1,1,0,1,1
580,1,13.4,6.4,0,0,0,0,0
581,1,12.1,5.1,0,0,0,0,0
582,1,13.2,7.1,1,1,1,1,1
583,1,13.7,6.6,0,1,0,1,1
584,1,12.5,5.2,0,0,0,0,0
585,1,11.8,6.1,0,0,0,0,0
586,1,13.8,5.8,1,0,1,0,1
587,1,14.0,5.2,0,0,0,0,0
588,1,12.4,6.4,0,0,1,1,0
589,1,14.6,6.8,1,1,1,1,1
590,1,13.6,6.3,1,1,1,1,1
591,1,12.7,6.5,0,0,0,0,0
592,1,13.2,6.1,1,1,1,1,1
593,1,11.5,5.6,0,0,0,0,0
594,1,14.9,6.2,1,1,1,1,1
595,1,14.1,6.0,0,0,0,0,0
596,1,11.8,5.8,0,0,0,0,0
597,1,13.0,5.7,1,1,1,1,1
598,1,11.7,6.5,0,0,0,0,0
599,0,11.4,5.4,0,0,0,1,0
600,1,13.6,5.5,0,0,1,0,0
601,1,13.7,6.1,0,0,0,0,0
602,1,11.5,5.3,0,0,0,0,0
603,1,11.6,5.2,1,0,1,1,1
604,1,11.6,6.4,0,1,0,0,0
605,1,13.1,5.4,0,0,0,0,0
606,1,15.3,5.7,0,1,1,1,1
607,1,14.2,6.6,1,1,1,1,1
608,1,13.6,5.9,0,0,0,0,0
609,1,14.2,6.9,1,1,1,1,1
610,1,13.5,6.0,0,1,1,0,0
611,1,13.3,6.0,1,1,0,1,1
612,1,14.1,5.8,0,0,0,0,0
613,1,13.4,5.7,0,0,0,0,0
614,1,15.1,7.1,1,1,1,1,1
615,1,14.3,6.2,0,0,0,1,0
616,1,13.7,5.8,0,1,1,1,1
617,1,12.2,5.9,1,1,1,1,1
618,1,14.9,5.9,1,0,1,1,1
619,1,13.9,5.7,0,0,0,0,0
620,1,13.4,5.2,0,0,0,0,0
621,1,13.0,5.4,0,1,0,1,0
622,1,14.1,6.0,0,0,0,0,0
623,1,12.2,5.8,1,0,0,0,0
624,1,13.3,6.3,0,0,0,0,0
625,1,12.2,5.9,1,1,1,0,1
626,1,13.0,6.5,1,1,1,1,1
627,1,15.4,6.9,1,1,1,1,1
628,1,12.6,6.4,0,0,0,1,0
629,1,15.2,6.8,1,1,1,1,1
630,1,13.9,5.6,1,1,1,1,1
